"Day","Tierkidi sim","Tierkidi data","Tierkidi error","Kakuma sim","Kakuma data","Kakuma error","Khartoum sim","Khartoum data","Khartoum error","West_Kordofan sim","West_Kordofan data","West_Kordofan error","Adjumani sim","Adjumani data","Adjumani error","Rhino sim","Rhino data","Rhino error","Kiryandongo sim","Kiryandongo data","Kiryandongo error","Total error","refugees in camps (UNHCR)","total refugees (simulation)","raw UNHCR refugee count","refugees in camps (simulation)","refugee_debt"
71,0,0,0,9715,20649,0.529517167902,57,1263,0.95486935867,1847,2236,0.17397137746,13121,49303,0.733870149889,9766,7632,0.279612159329,3189,10921,0.707993773464,0.656056539244123,92396,92396,92396,40127,0
72,0,0,0,9970,20833,0.521432342917,62,1366,0.954612005857,1910,2236,0.145796064401,13331,49997,0.73336400184,9924,7711,0.286992607963,3235,11150,0.709865470852,0.654942052803449,93706,93706,93706,40930,0
73,4,0,0,10223,21111,0.515750082895,64,1469,0.956432947583,1967,2236,0.12030411449,13548,50692,0.732738893711,10087,7790,0.29486521181,3295,11379,0.710431496617,0.654481032887543,95112,95112,95112,41781,0
74,36,744,0.951612903226,10495,21383,0.509189543095,64,1572,0.959287531807,2033,2236,0.0907871198569,13751,51386,0.732397929397,10224,7869,0.299275638582,3339,11608,0.712353549276,0.655966274227546,97255,97255,97255,42629,0
75,62,1489,0.95836131632,10792,21731,0.503382264967,69,1675,0.958805970149,2090,2236,0.0652951699463,13985,52081,0.731475970123,10390,7948,0.30724710619,3393,11838,0.713380638621,0.657354537777956,99476,99476,99476,43549,0
76,94,2234,0.957923008057,11079,22191,0.50074354468,72,1778,0.959505061867,2137,2236,0.0442754919499,14245,52562,0.728986720444,10567,8027,0.316432041859,3449,11939,0.711114833738,0.658194289769087,101467,101467,101467,44524,0
77,128,2979,0.957032561262,11392,22465,0.492900066771,77,1881,0.959064327485,2198,2236,0.0169946332737,14504,53043,0.726561468997,10732,8106,0.3239575623,3517,12041,0.707914625031,0.65765163839182,103272,103272,103272,45531,0
78,156,3724,0.958109559613,11678,22785,0.48746982664,81,2030,0.960098522167,2255,2236,0.00849731663685,14715,53524,0.725076601151,10917,8185,0.333781307269,3588,12143,0.704521123281,0.658609869734715,105170,105170,105170,46460,0
79,180,4469,0.959722533005,11962,23204,0.484485433546,83,2179,0.96190913263,2330,2236,0.0420393559928,14989,54005,0.72245162485,11100,8263,0.343337770785,3631,12245,0.70347080441,0.660507996939328,107166,107166,107166,47436,0
80,219,5214,0.957997698504,12248,23550,0.47991507431,86,2328,0.963058419244,2391,2236,0.0693202146691,15237,54486,0.720350181698,11260,8342,0.34979621194,3680,12347,0.701951891148,0.661881582927701,109089,109089,109089,48383,0
81,254,5959,0.957375398557,12560,23768,0.471558397846,89,2478,0.96408393866,2443,2236,0.0925760286225,15444,54968,0.719036530345,11450,8421,0.3596959981,3744,12449,0.699252952044,0.662963196767881,110887,110887,110887,49339,0
82,291,6704,0.956593078759,12859,24267,0.470103432645,92,2627,0.964979063571,2522,2236,0.127906976744,15703,55449,0.716802827824,11639,8500,0.369294117647,3819,12550,0.695697211155,0.66471910908093,112962,112962,112962,50384,0
83,327,7449,0.956101490133,13203,24627,0.463881106103,99,2776,0.964337175793,2597,2236,0.1614490161,15957,55930,0.714696942607,11826,8579,0.378482340599,3872,12652,0.693961429023,0.665718015665796,114900,114900,114900,51439,0
84,362,8194,0.955821332682,13544,24993,0.458088264714,103,2925,0.964786324786,2682,2236,0.19946332737,16200,56411,0.712821967347,12000,8658,0.386001386001,3920,12754,0.692645444566,0.667023270542523,116843,116843,116843,52484,0
85,396,8939,0.955699742701,13850,25505,0.456969221721,113,3074,0.963240078074,2757,2236,0.233005366726,16438,56892,0.711066582296,12202,8737,0.396589218267,3976,12856,0.690728064717,0.668981695576501,118933,118933,118933,53511,0
86,427,9684,0.955906650145,14168,25885,0.452655978366,120,3224,0.962779156328,2826,2236,0.263864042934,16676,57374,0.709345696657,12389,8816,0.40528584392,4033,12958,0.688763698102,0.670262132629681,120893,120893,120893,54521,0
