name,lat,lon,region,country,conflict_date,population,location_type
146850786,50.6139052,3.3244246,xyz,xyz,0,0,town
146850792,50.6142257,3.3256758,xyz,xyz,0,0,town
146850795,50.6149838,3.3284206,xyz,xyz,0,0,town
146850906,50.7232754,3.2937643,xyz,xyz,0,0,town
229954425,50.8176393,3.1255843,xyz,xyz,0,0,town
237965629,50.6161963,3.3312899,xyz,xyz,0,0,town
237965644,50.8177025,3.1342361,xyz,xyz,0,0,town
237965650,50.8174044,3.127,xyz,xyz,0,0,town
237965658,50.8171284,3.1243143,xyz,xyz,0,0,town
237965668,50.816401,3.1203403,xyz,xyz,0,0,town
240022316,50.7494877,3.1442626,xyz,xyz,0,0,town
240022318,50.7458039,3.14133,xyz,xyz,0,0,town
250139304,50.4610656,3.7502011,xyz,xyz,0,0,town
250139306,50.4610752,3.7505348,xyz,xyz,0,0,town
250660742,50.8687489,3.435912,xyz,xyz,0,0,town
252509517,50.7473404,3.1443973,xyz,xyz,0,0,town
252509521,50.7481092,3.1453185,xyz,xyz,0,0,town
252509536,50.7470155,3.1423152,xyz,xyz,0,0,town
254887943,50.8267807,3.2166685,xyz,xyz,0,0,town
257076620,50.7919025,3.2357762,xyz,xyz,0,0,town
257754408,50.8080744,3.2488093,xyz,xyz,0,0,town
257754466,50.8100796,3.2492922,xyz,xyz,0,0,town
257754467,50.8091565,3.2492172,xyz,xyz,0,0,town
258102146,50.8094601,3.2485525,xyz,xyz,0,0,town
258491657,50.8753331,3.4509282,xyz,xyz,0,0,town
260579534,50.5314617,3.6091691,xyz,xyz,0,0,town
260643660,50.8339088,3.2178871,xyz,xyz,0,0,town
260643664,50.8354267,3.2208676,xyz,xyz,0,0,town
260643671,50.8356846,3.220999,xyz,xyz,0,0,town
260818758,50.4716372,3.7450823,xyz,xyz,0,0,town
261144195,50.8486321,3.3738182,xyz,xyz,0,0,town
261144214,50.8499436,3.3728109,xyz,xyz,0,0,town
261144227,50.848044,3.3751786,xyz,xyz,0,0,town
262875824,50.8301043,3.1972403,xyz,xyz,0,0,town
262875825,50.8271662,3.1965346,xyz,xyz,0,0,town
262875831,50.8275531,3.2016295,xyz,xyz,0,0,town
262875835,50.8282433,3.2041088,xyz,xyz,0,0,town
262875841,50.8298711,3.2024979,xyz,xyz,0,0,town
265772427,50.8192042,3.2277238,xyz,xyz,0,0,town
265772438,50.8151151,3.2051691,xyz,xyz,0,0,town
265772447,50.8106861,3.2056766,xyz,xyz,0,0,town
269243949,50.7521418,3.140688,xyz,xyz,0,0,town
282373243,50.8137554,3.2004439,xyz,xyz,0,0,town
288533269,50.8481271,3.3748169,xyz,xyz,0,0,town
288533272,50.8478192,3.3748865,xyz,xyz,0,0,town
288533416,50.8479926,3.3723977,xyz,xyz,0,0,town
291328169,50.868734,3.4363846,xyz,xyz,0,0,town
294766193,50.7885037,3.2289024,xyz,xyz,0,0,town
294766234,50.7895573,3.2285502,xyz,xyz,0,0,town
294767627,50.5999506,3.1386648,xyz,xyz,0,0,town
299213287,50.6269804,3.364933,xyz,xyz,0,0,town
299213418,50.6290316,3.3607615,xyz,xyz,0,0,town
299213485,50.6299338,3.3594739,xyz,xyz,0,0,town
299213945,50.6267498,3.3578712,xyz,xyz,0,0,town
299214203,50.6274825,3.3635573,xyz,xyz,0,0,town
303700627,50.7493407,3.1439421,xyz,xyz,0,0,town
303700983,50.7524086,3.1402644,xyz,xyz,0,0,town
303700985,50.7492403,3.1438665,xyz,xyz,0,0,town
303700987,50.7487143,3.144449,xyz,xyz,0,0,town
303702219,50.7468087,3.1465636,xyz,xyz,0,0,town
304853271,50.5990601,3.141845,xyz,xyz,0,0,town
304857696,50.5848904,3.1455438,xyz,xyz,0,0,town
309178961,50.8083232,3.248356,xyz,xyz,0,0,town
309178962,50.8082205,3.2494594,xyz,xyz,0,0,town
309178965,50.8080553,3.25272,xyz,xyz,0,0,town
309178967,50.8080697,3.253685,xyz,xyz,0,0,town
309199880,50.8102481,3.2448629,xyz,xyz,0,0,town
309204017,50.7858649,3.2242272,xyz,xyz,0,0,town
309204019,50.7842992,3.2217276,xyz,xyz,0,0,town
309204021,50.7930482,3.2243979,xyz,xyz,0,0,town
309842952,50.8162706,3.1216755,xyz,xyz,0,0,town
309843476,50.817321,3.1329515,xyz,xyz,0,0,town
309848886,50.8162753,3.1273404,xyz,xyz,0,0,town
309848891,50.8156074,3.1281612,xyz,xyz,0,0,town
309848897,50.8162277,3.1283578,xyz,xyz,0,0,town
309848908,50.8160654,3.1266889,xyz,xyz,0,0,town
309849823,50.8293058,3.18111,xyz,xyz,0,0,town
310004742,50.8336063,3.1837578,xyz,xyz,0,0,town
310004759,50.8343824,3.1837616,xyz,xyz,0,0,town
310255214,50.8104639,3.2055644,xyz,xyz,0,0,town
310343495,50.8189369,3.2283164,xyz,xyz,0,0,town
310785548,50.8488236,3.2300469,xyz,xyz,0,0,town
310785551,50.8481856,3.2303919,xyz,xyz,0,0,town
311806624,50.8441109,3.225158,xyz,xyz,0,0,town
314822989,50.8287317,3.2931826,xyz,xyz,0,0,town
314822993,50.8261352,3.2951456,xyz,xyz,0,0,town
315294609,50.8297071,3.1952629,xyz,xyz,0,0,town
315296324,50.8287092,3.2007946,xyz,xyz,0,0,town
315306728,50.8286708,3.2038578,xyz,xyz,0,0,town
315306730,50.8291134,3.2006632,xyz,xyz,0,0,town
317452295,50.7893185,3.2312751,xyz,xyz,0,0,town
317519436,50.8310764,3.1862891,xyz,xyz,0,0,town
317519438,50.8253032,3.1919496,xyz,xyz,0,0,town
317519452,50.8293166,3.1880259,xyz,xyz,0,0,town
317519473,50.8296028,3.1871701,xyz,xyz,0,0,town
317519474,50.8295786,3.1909038,xyz,xyz,0,0,town
319141886,50.7897389,3.2291763,xyz,xyz,0,0,town
319141959,50.7893808,3.2303532,xyz,xyz,0,0,town
319563135,50.7716856,3.1934497,xyz,xyz,0,0,town
345179474,50.6147308,3.324315,xyz,xyz,0,0,town
357176013,50.6596152,3.5898995,xyz,xyz,0,0,town
411066088,50.7238483,3.2935839,xyz,xyz,0,0,town
437566156,50.7293809,3.2936688,xyz,xyz,0,0,town
459548551,50.584963,3.1442385,xyz,xyz,0,0,town
485954880,50.617783,3.3358389,xyz,xyz,0,0,town
485954933,50.6327516,3.410749,xyz,xyz,0,0,town
485959947,50.6044138,3.4312808,xyz,xyz,0,0,town
485961585,50.6170791,3.334496,xyz,xyz,0,0,town
485961596,50.620911,3.3441021,xyz,xyz,0,0,town
485961597,50.6218414,3.3458294,xyz,xyz,0,0,town
495528478,50.4894722,3.6965025,xyz,xyz,0,0,town
495553484,50.4863939,3.7076877,xyz,xyz,0,0,town
495660343,50.4895904,3.696822,xyz,xyz,0,0,town
500881656,50.4887054,3.7030678,xyz,xyz,0,0,town
500881661,50.4871363,3.7022256,xyz,xyz,0,0,town
506481233,50.5440222,3.5532493,xyz,xyz,0,0,town
506481238,50.5427165,3.5603892,xyz,xyz,0,0,town
506484496,50.508501,3.6730004,xyz,xyz,0,0,town
512556015,50.8179058,3.1247589,xyz,xyz,0,0,town
512556025,50.8158824,3.1275889,xyz,xyz,0,0,town
519656708,50.7281353,3.2943424,xyz,xyz,0,0,town
519656709,50.7270236,3.2943298,xyz,xyz,0,0,town
519656712,50.7243864,3.2956875,xyz,xyz,0,0,town
519735334,50.7181439,3.2980575,xyz,xyz,0,0,town
519739351,50.7209997,3.2961003,xyz,xyz,0,0,town
519739383,50.7257424,3.2947039,xyz,xyz,0,0,town
519740356,50.7282224,3.2937947,xyz,xyz,0,0,town
519822820,50.7180868,3.2955993,xyz,xyz,0,0,town
520357869,50.7151868,3.2977736,xyz,xyz,0,0,town
520357892,50.7135379,3.2980654,xyz,xyz,0,0,town
520365567,50.7275532,3.2935077,xyz,xyz,0,0,town
520367238,50.7205395,3.2955643,xyz,xyz,0,0,town
520367282,50.7155073,3.2970297,xyz,xyz,0,0,town
520367305,50.71359,3.2977636,xyz,xyz,0,0,town
521181710,50.7256769,3.2940304,xyz,xyz,0,0,town
521639330,50.601303,3.435457,xyz,xyz,0,0,town
521639365,50.6030209,3.4383683,xyz,xyz,0,0,town
521757350,50.7713885,3.190966,xyz,xyz,0,0,town
529037452,50.8309557,3.2150969,xyz,xyz,0,0,town
529556124,50.8491853,3.372808,xyz,xyz,0,0,town
529823533,50.7694805,3.1868976,xyz,xyz,0,0,town
529823903,50.7690627,3.1862438,xyz,xyz,0,0,town
538026192,50.8101856,3.2716416,xyz,xyz,0,0,town
603169990,50.8121215,3.275202,xyz,xyz,0,0,town
603169991,50.811456,3.2738361,xyz,xyz,0,0,town
618002397,50.8257716,3.2957051,xyz,xyz,0,0,town
618003394,50.8192877,3.2955346,xyz,xyz,0,0,town
619485169,50.8137635,3.2653671,xyz,xyz,0,0,town
621190622,50.8191176,3.2992474,xyz,xyz,0,0,town
641167637,50.7220809,3.1276468,xyz,xyz,0,0,town
641167708,50.7141836,3.1234179,xyz,xyz,0,0,town
644617087,50.7165719,3.1239171,xyz,xyz,0,0,town
650933241,50.795476,3.2204785,xyz,xyz,0,0,town
650933265,50.7929323,3.2236719,xyz,xyz,0,0,town
650933311,50.7881397,3.2308365,xyz,xyz,0,0,town
650933337,50.7854012,3.2358865,xyz,xyz,0,0,town
650933674,50.7937864,3.2384616,xyz,xyz,0,0,town
650934134,50.7938638,3.2390079,xyz,xyz,0,0,town
650934139,50.7860262,3.2255853,xyz,xyz,0,0,town
650934211,50.7861792,3.2354445,xyz,xyz,0,0,town
651008670,50.8292963,3.1956522,xyz,xyz,0,0,town
668589824,50.8479537,3.3753695,xyz,xyz,0,0,town
669076112,50.748594,3.1435748,xyz,xyz,0,0,town
681605691,50.8284144,3.2934114,xyz,xyz,0,0,town
689820754,50.6353795,3.4174633,xyz,xyz,0,0,town
689821011,50.6341878,3.4113321,xyz,xyz,0,0,town
689822089,50.6498305,3.2935839,xyz,xyz,0,0,town
693195221,50.6085797,3.3064448,xyz,xyz,0,0,town
693195229,50.6110493,3.3104635,xyz,xyz,0,0,town
703260460,50.815161,3.2053198,xyz,xyz,0,0,town
703260593,50.813821,3.2007545,xyz,xyz,0,0,town
707061953,50.6273669,3.3588644,xyz,xyz,0,0,town
707061958,50.6305443,3.3665435,xyz,xyz,0,0,town
707061968,50.6299834,3.3603843,xyz,xyz,0,0,town
