osm_id,osm_type,capacity,isced_level,amenity,name,longitude,latitude,geom_type
"6118929572",nodes,,,,Purbo Khoriakhali Munsibari Nechariya Hafezia o Etimkhana Madrasa,89.8201579,22.215822,POINT
"5876234400",nodes,,,school,North Tafal House Quraan Dinina Madrasa,89.8222983,22.2876595,POINT
"5783957963",nodes,,,school,Sundarban Secondary School,89.8279001,22.2243325,POINT
"6126601804",nodes,,,school,Razapur High School,89.829504,22.3414823,POINT
"5783609602",nodes,,,school,Taltoli Government Primary School,89.8189777,22.3179071,POINT
"9587817387",nodes,,,school,Gopalganj Girl High School,89.826982,23.0043272,POINT
"2406090600",nodes,,,school,Binapani Girls' High School,89.8312963,23.0077447,POINT
"9000226601",nodes,,,school,Moulovi Abdul Hye Memorial School And College,89.8272234,23.2709467,POINT
"9584920079",nodes,,,school,Govt Primary School,89.6673151,22.9393548,POINT
"6087411563",nodes,,,school,"South Jomirtola Guatola Government Primary School, 84 no",89.7947037,22.4204012,POINT
"5983656057",nodes,,,school,Dhanshagor United High School,89.8128623,22.3869344,POINT
"5684209095",nodes,,,college,IMTB,89.8060226,22.6416649,POINT
"5856952020",nodes,,,school,Jomaddar Para Govt. Primary School,89.8309135,22.4638048,POINT
"5856949577",nodes,,,school,186 No. Baroikhali Manik Mia Govt. Primary School,89.8453653,22.4648422,POINT
"6015407712",nodes,,,school,265 no North Dhowatola Government Primary School,89.7371864,22.5110455,POINT
"2424145993",nodes,,,school,Governemnt Boys School,89.9672359,22.578446,POINT
"6116328344",nodes,,,school,Naldanga Govt primary school/Cyclone center,89.8205827,22.590551,POINT
"6087411560",nodes,,,school,Nishanbaria Primary School,89.7548568,22.4175399,POINT
"9585705170",nodes,,,school,Bilbauch Govt. Primary School,89.6515499,23.0471107,POINT
"9706383719",nodes,,,school,Panti Secondary School,89.2274838,23.7795857,POINT
"9706383720",nodes,,,school,Panti Girls High School,89.211495,23.7848786,POINT
"9706383718",nodes,,,school,B.K.M.N.  High School,89.2365346,23.7660498,POINT
"9706383721",nodes,,,school,Dansha Girl's High School,89.213764,23.799414,POINT
"10938941898",nodes,,,school,"Begum Rokeya Kindergarten School, Lalpur - Gopalpur - Banpara Rd, Natore",88.973577,24.1836315,POINT
"10956819699",nodes,,,school,বেরিলাবাড়ী সরকারী প্রাথমিক বিদ্যালয়,88.8885307,24.1993502,POINT
"10938970343",nodes,,,school,লালপুর শ্রী সুন্দরী উচ্চ বিদ্যালয়,88.9663645,24.1788934,POINT
"5221600654",nodes,,,,Ishwardi Govt. College,89.0735819,24.1282827,POINT
"4393783956",nodes,,,school,Shaheb Nagar Primary School,88.948905,23.599686,POINT
"9705618009",nodes,,,school,86 No. Asannagor Govt. Primary School,89.03589,23.7419225,POINT
"9705613301",nodes,,,school,Prantik Junior High School,88.8768442,23.8814145,POINT
"9602997007",nodes,,,school,Govt Primary School,89.1193178,23.4024042,POINT
"9705618003",nodes,,,school,Baradi Secondary Girls School,89.1035378,23.8964559,POINT
"9705482212",nodes,,,school,Mir Abu Abdull Memorial Junior High School,89.1172497,23.8961207,POINT
"9705482211",nodes,,,school,Collectorate School And College,89.1201761,23.9002998,POINT
"9705482208",nodes,,,school,Sahittik Mir Mosharraf Hossain High School,89.123275,23.9055139,POINT
"9705485414",nodes,,,school,G.K. High School,89.1253562,23.9122839,POINT
"9705482206",nodes,,,school,Educare Ideal School,89.1284672,23.9045965,POINT
"9705618002",nodes,,,school,Kaburhat High School,89.0774851,23.8742534,POINT
"9586300359",nodes,,,school,Solua High School,89.105895,23.2375725,POINT
"10861358724",nodes,,,school,J S High School,88.974047,23.7793191,POINT
"4393655402",nodes,,,school,Mohammad Juma Primary School,88.9632983,23.5951202,POINT
