#name,region,country,latitude,longitude,location_type,conflict_date,population,fatalities,initial_idps,first_event_date,conflict_score,original_camps
Ose,Ondo,Nigeria,7.0510139,5.7286513,town,0,221400,0,8,,0.08,
Okpokwu,Benue,Nigeria,7.0453758,7.9101002,town,0,253500,0,9,,0.09,
Song,Adamawa,Nigeria,9.7789798,12.642119,town,0,301000,0,571,,0.11,
Umu-Nneochi,Abia,Nigeria,5.9731936,7.4053403,town,0,237500,0,8,,0.08,
Sardauna,Taraba,Nigeria,6.929532,11.2229288,town,0,352900,0,558,,0.13,
Dutsin-Ma,Katsina,Nigeria,12.4067522,7.527285,town,0,303500,0,1955,,0.11,
Ife East,Osun,Nigeria,7.403415,4.5995946,town,0,244900,0,9,,0.09,
Kajola,Oyo,Nigeria,8.0285326,3.3585943,town,0,286600,0,10,,0.1,
Guma,Benue,Nigeria,7.8682914,8.8286537,town,0,280300,0,36142,,0.1,
Shendam,Plateau,Nigeria,8.7365546,9.5155524,town,0,301800,0,1548,,0.11,
Bukkuyum,Zamfara,Nigeria,11.98501,5.5834557,town,0,384900,0,6035,,0.14,
Rijau,Niger,Nigeria,11.0430889,5.2174572,town,0,302200,0,11,,0.11,
Biriniwa,Jigawa,Nigeria,12.8364638,10.0835719,town,0,244200,0,9,,0.09,
Anambra West,Anambra,Nigeria,6.4925694,6.7765786,town,0,238400,0,8,,0.08,
Odo-Otin,Osun,Nigeria,8.0074435,4.6790483,town,0,171500,0,6,,0.06,
Saki East,Oyo,Nigeria,8.710249,3.5676274,town,0,155700,0,5,,0.05,
Lagelu,Oyo,Nigeria,7.5116973,4.0789034,town,0,211700,0,7,,0.07,
Potiskum,Yobe,Nigeria,11.7122553,11.0762744,town,0,322100,0,2668,,0.12,
Shomgom,Gombe,Nigeria,9.67366,11.2566,town,0,252800,0,106,,0.09,
Tarmua,Yobe,Nigeria,12.226929,11.8318975,town,0,122100,0,2950,,0.04,
Lere,Kaduna,Nigeria,10.3617511,8.5723993,town,0,501900,0,3909,,0.19,
Funakaye,Gombe,Nigeria,10.8541991,11.4446812,town,0,398000,0,1132,,0.15,
Ogun Waterside,Ogun,Nigeria,6.4608378,4.3903695,town,0,126200,0,4,,0.04,
Nganzai,Borno,Nigeria,12.4493445,13.1252411,town,0,145200,0,51927,,0.05,
Ethiope West,Delta,Nigeria,5.9113228,5.7758592,town,0,277800,0,10,,0.1,
Bagudo,Kebbi,Nigeria,11.4040393,4.2277586,town,0,406700,0,15,,0.15,
Iwajowa,Oyo,Nigeria,7.9901335,2.9887347,town,0,147000,0,5,,0.05,
Magama,Niger,Nigeria,10.2990765,5.0610888,town,0,311300,0,11,,0.11,
Sabon-Gari,Kaduna,Nigeria,11.1665681,7.7068114,town,0,430500,0,219,,0.16,
Akure South,Ondo,Nigeria,7.22318,5.1688323,town,0,553400,0,21,,0.21,
Ogbomosho North,Oyo,Nigeria,8.1568767,4.2633807,town,0,284200,0,10,,0.1,
Ijero,Ekiti,Nigeria,7.8317358,5.0583553,town,0,332200,0,12,,0.12,
Paikoro,Niger,Nigeria,9.4930391,6.8376786,town,0,271300,0,10,,0.1,
Karim-Lamido,Taraba,Nigeria,9.1473131,10.8580208,town,0,305100,0,751,,0.11,
Gamawa,Bauchi,Nigeria,12.014595,10.5934781,town,0,507900,0,699,,0.19,
Essien Udim,Akwa Ibom,Nigeria,5.1035626,7.6567273,town,0,246600,0,9,,0.09,
Musawa,Katsina,Nigeria,12.1112494,7.7097378,town,0,303800,0,1259,,0.11,
Abeokuta South,Ogun,Nigeria,7.1594138,3.3645466,town,0,425700,0,16,,0.16,
Isiala-Mbano,Imo,Nigeria,5.6846895,7.1963538,town,0,275100,0,10,,0.1,
Yakurr,Cross River,Nigeria,5.8176086,8.1779057,town,0,298900,0,11,,0.11,
Birnin Kudu,Jigawa,Nigeria,11.4514358,9.477428,town,0,540100,0,21,,0.21,
Ogba-Egbema-Ndoni,Rivers,Nigeria,5.4512857,6.6409178,town,0,407400,0,15,,0.15,
Hawul,Borno,Nigeria,10.4545467,12.3077703,town,0,176900,0,9077,,0.06,
Atiba,Oyo,Nigeria,8.2356925,3.8685804,town,0,240500,0,9,,0.09,
Abua-Odual,Rivers,Nigeria,4.8469396,6.5600328,town,0,406200,0,15,,0.15,
Mani,Katsina,Nigeria,12.9074412,7.9331795,town,0,315100,0,1379,,0.12,
Dambatta,Kano,Nigeria,12.428521,8.5965507,town,0,346200,0,190,,0.13,
Lamurde,Adamawa,Nigeria,9.6072357,11.7930477,town,0,171600,0,1860,,0.06,
Ganjuwa,Bauchi,Nigeria,10.7493609,9.9899566,town,0,497300,0,200,,0.19,
Enugu East,Enugu,Nigeria,6.5483445,7.5568359,town,0,397700,0,15,,0.15,
Aleiro,Kebbi,Nigeria,12.3203117,4.4531952,town,0,114600,0,3,,0.03,
Akamkpa,Cross River,Nigeria,5.389646,8.5446556,town,0,228000,0,8,,0.08,
Sumaila,Kano,Nigeria,11.2581601,8.8702242,town,0,411800,0,108,,0.16,
Edu,Kwara,Nigeria,8.8453918,5.2120792,town,0,302700,0,11,,0.11,
Ukum,Benue,Nigeria,7.6077266,9.6059233,town,0,313300,0,7566,,0.12,
Tambuwal,Sokoto,Nigeria,12.3986484,4.9429866,town,0,389900,0,2080,,0.15,
Moro,Kwara,Nigeria,8.8535638,4.5154722,town,0,163200,0,5,,0.05,
Jahun,Jigawa,Nigeria,12.0753808,9.6257925,town,0,395300,0,15,,0.15,
Dukku,Gombe,Nigeria,10.7799177,10.8210523,town,0,347700,0,298,,0.13,
Malam Madori,Jigawa,Nigeria,12.5297795,9.8959769,town,0,283400,0,10,,0.1,
Kabba/Bunu,Kogi,Nigeria,8.0700981,6.1414186,town,0,194900,0,7,,0.07,
Muya,Niger,Nigeria,10.749001,7.115305,town,0,177500,0,6,,0.06,
Dandi,Kebbi,Nigeria,11.9019676,3.7945764,town,0,249800,0,9,,0.09,
Warri South West,Delta,Nigeria,5.6042277,5.3230331,town,0,159700,0,5,,0.05,
Aniocha South,Delta,Nigeria,6.1419725,6.4773901,town,0,194700,0,7,,0.07,
