Day,Tierkidi sim,Tierkidi data,Tierkidi error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
47,0,0.0,0.0,4425,13855,0.680620714543,13,240,0.945833333333,501,2201,0.77237619264,7926,32637,0.757146796581,5532,5739,0.0360690015682,1911,5421,0.647482014388,0.6620571447589569,60093,60093,60093,20308,0
48,0,0.0,0.0,4600,14277,0.677803460111,15,254,0.94094488189,545,2248,0.75756227758,8164,33331,0.7550628544,5693,5818,0.0214850464077,1976,5650,0.650265486726,0.6589971746825577,61578,61586,61586,20993,0
49,0,0.0,0.0,4766,14469,0.670606123436,17,268,0.936567164179,592,2295,0.742047930283,8409,34026,0.752865455828,5841,5897,0.00949635407834,2035,5879,0.653852696037,0.6551049307091374,62834,62851,62851,21660,0
50,0,0.0,0.0,4945,14652,0.662503412503,20,281,0.928825622776,639,2341,0.727039726613,8632,34720,0.751382488479,6028,5976,0.00870147255689,2090,6108,0.657825802227,0.6525021839510795,64078,64104,64104,22354,0
51,0,0.0,0.0,5126,15107,0.660687098696,23,295,0.922033898305,688,2388,0.71189279732,8847,35415,0.750190597205,6204,6055,0.02460776218,2135,6338,0.663142947302,0.6532331789371039,65598,65632,65632,23023,0
52,0,0.0,0.0,5285,15402,0.656862745098,26,295,0.91186440678,740,2435,0.696098562628,9079,36109,0.748566839292,6382,6133,0.0406000326105,2168,6567,0.669864473885,0.6532754090529082,66941,66984,66984,23680,0
53,0,0.0,0.0,5453,15676,0.65214340393,29,296,0.902027027027,791,2482,0.681305398872,9330,36803,0.746488058039,6570,6212,0.0576303927882,2230,6796,0.671865803414,0.6525169430741983,68265,68317,68317,24403,0
54,0,0.0,0.0,5622,16051,0.649741449131,31,297,0.895622895623,827,2529,0.672993277975,9552,37498,0.745266414209,6751,6291,0.0731203306311,2282,7025,0.675160142349,0.6529798855930381,69691,69751,69751,25065,0
55,0,0.0,0.0,5791,16365,0.646135044302,36,298,0.879194630872,863,2576,0.66498447205,9772,38192,0.744134897361,6914,6370,0.0854003139717,2335,7254,0.678108629722,0.6528316742590405,71055,71124,71124,25711,0
56,0,0.0,0.0,5988,16745,0.642400716632,39,298,0.869127516779,915,2623,0.651162790698,10013,38887,0.742510350503,7098,6449,0.100635757482,2376,7483,0.682480288654,0.652591541143558,72485,72563,72563,26429,0
