,Day,Tierkidi sim,Tierkidi error,Pugnido sim,Pugnido error,Jewi sim,Jewi error,Kule sim,Kule error,Kakuma sim,Kakuma error,Khartoum sim,Khartoum error,West_Kordofan sim,West_Kordofan error,Adjumani sim,Adjumani error,Rhino sim,Rhino error,Kiryandongo sim,Kiryandongo error,Total error,refugees in camps (simulation),refugee_debt
52,52,0,0.0,-238,-5.173913043478261,0,0.0,0,0.0,-414,0.026176024279210952,0,0.0,-93,0.025669334805410005,-672,0.018610318757096622,-192,0.028393966282165062,-54,0.008057296329453845,0.017061706745626792,-1663,0
53,53,0,0.0,-244,-4.436363636363637,0,0.0,0,0.0,-427,0.026526681990432954,0,0.0,-105,0.02843216896831824,-747,0.020297258375675975,-228,0.033289531318440646,-60,0.00865051903114189,0.01864772294811623,-1811,0
54,54,0,0.0,-247,-3.859375,0,0.0,0,0.0,-443,0.026877806091493706,0,0.0,-108,0.028700504916290392,-743,0.019814390100805213,-260,0.037485582468281375,-59,0.00822873082287312,0.018859848955528835,-1860,0
55,55,0,0.0,-255,-3.445945945945945,0,0.0,0,0.0,-421,0.025053558676505494,1,-0.0019342359767892114,-119,0.031054279749478164,-776,0.020318391286132997,-282,0.04015378043571127,-74,0.009994597514856873,0.01917503994799985,-1926,0
56,56,0,0.0,-263,-3.168674698795181,0,0.0,0,0.0,-408,0.02372782785693517,1,-0.0019305019305020377,-131,0.033572526909277256,-821,0.02111245403348172,-352,0.0495077355836849,-71,0.0092956271275203,0.020163806034539933,-2045,0
57,57,0,0.0,-280,-3.0434782608695654,-1,0.0,0,0.0,-396,0.022706422018348604,1,-0.0019230769230768052,-133,0.033484390735145975,-843,0.021298097572067354,-400,0.055586436909393994,-81,0.010289634146341431,0.020489611727726897,-2133,0
58,58,0,0.0,-297,-2.911764705882354,-1,0.0,0,0.0,-400,0.02270663033605813,0,0.0,-140,0.03463631865413164,-848,0.021055245189323446,-409,0.05615817657558697,-92,0.011351017890191328,0.020367407028099582,-2187,0
59,59,0,0.0,-298,-1.752941176470588,-1,0.0,0,0.0,-395,0.022107796496333987,0,0.0,-146,0.036943319838056654,-868,0.021186233829631473,-452,0.061329715061058304,-107,0.012831274733181464,0.021027301475312732,-2267,0
60,60,0,0.0,-300,-1.595744680851064,-1,0.0,0,0.0,-449,0.024919524919524982,0,0.0,-152,0.039347657261195934,-917,0.022009408602150504,-457,0.06128469894059274,-97,0.011314592324740413,0.022004920354862012,-2373,0
61,61,0,0.0,-313,-1.1766917293233083,-1,0.0,0,0.0,-488,0.026524622241547835,0,0.0,-155,0.04108136761197978,-940,0.02219126986000619,-496,0.06574761399787912,-100,0.011354604292040493,0.022777513159662477,-2493,0
62,62,0,0.0,-333,-1.215328467153285,-1,0.0,0,0.0,-514,0.027717860224331314,-2,0.002680965147453196,-163,0.044245385450597086,-993,0.023064594801756155,-520,0.06814310051107333,-110,0.01216679570843937,0.02371855904932929,-2636,0
63,63,0,0.0,-332,-1.1773049645390068,-1,0.0,0,0.0,-517,0.02750585230900182,-2,0.0026350461133070047,-170,0.04728789986091786,-1022,0.023361067934534185,-557,0.07216895568800205,-119,0.012830188679245347,0.024402124196595043,-2720,0
64,64,0,0.0,-350,-1.2068965517241377,-1,0.0,0,0.0,-535,0.028000209347359473,-2,0.0025873221216043962,-184,0.05249643366619117,-1003,0.022568741280770466,-594,0.07610506085842406,-118,0.012409296455989094,0.02440566070864203,-2787,0
65,65,0,0.0,-369,-1.234113712374582,0,0.0,0,0.0,-543,0.028216586988152215,-4,0.0050890585241731845,-202,0.05913348946135821,-1047,0.02319656150301319,-624,0.07906741003547889,-109,0.01118751924458583,0.024966480188635676,-2898,0
66,66,-1,0.0,-379,-1.210862619808307,0,0.0,0,0.0,-549,0.027841168416248285,-5,0.006250000000000089,-213,0.06402164111812447,-1062,0.023172088760882392,-655,0.08209048752976567,-107,0.010724666733487043,0.02514042708025388,-2971,0
67,67,-1,0.0,-385,-1.1773700305810395,0,0.0,0,0.0,-550,0.027457440966502045,-5,0.00453309156844961,-241,0.07243763149984994,-1109,0.02383664696399801,-657,0.0814530126456732,-95,0.00930460333006855,0.02534909419683229,-3043,0
68,68,-1,0.0,-396,-1.1314285714285715,-1,0.0,0,0.0,-531,0.026023033570203302,-7,0.004975124378109541,-250,0.07514277126540425,-1144,0.024227022448115143,-650,0.0797252545075432,-106,0.010149368058215202,0.025080498543359697,-3086,0
