mali total error,burundi total error,car total error
,0.116225265,0.303721913
,0.117129599,0.304948788
,0.118420926,0.305685704
,0.119351646,0.306173932
,0.119246329,0.306949402
,0.119216079,0.307728117
,0.118767904,0.308693072
,0.119147416,0.313993942
,0.119925539,0.314898337
,0.121041271,0.316005599
,0.122126312,0.31718627
,0.123012775,0.318259865
,0.123540261,0.319429807
,0.123857557,0.320186109
,0.124532432,0.321463709
,0.124920915,0.322099409
,0.125496078,0.322973622
,0.125880496,0.324439953
,0.126251821,0.325573023
,0.126491426,0.32631473
,0.126747305,0.327880526
,0.126616676,0.328766169
,0.126725716,0.329869467
,0.126701755,0.330926013
,0.126917413,0.332049274
,0.1274387,0.333499615
,0.127868453,0.334511317
,0.128208375,0.33593895
,0.128241331,0.337129075
,0.128448003,0.338518498
,,0.339995517
,,0.341339504
,,0.342537339
,,0.343888887
,,0.345390394
,,0.346676186
,,0.348448779
,,0.349780714
,,0.351200645
,,0.352488752
,,0.354291286
,,0.355480998
,,0.356529372
,,0.357538052
,,0.358030293
,,0.358016056
,,0.358140107
,,0.358039998
,,0.358140873
,,0.358300232
,,0.357971659
,,0.358446343
,,0.358618103
,,0.358347296
,,0.358317658
,,0.359036964
,,0.359055238
,,0.358819152
,,0.358956852
,,0.359343847
,,0.359302015
,,0.358271037
,,0.357706889
,,0.356710771
,,0.355424204
,,0.354428099
,,0.354075205
,,0.353355176
,,0.351654444
,,0.350060101
,,0.348830155
,,0.347027147
,,0.345772635
,,0.343075597
,,0.341727579
,,0.340663147
,,0.338554848
,,0.334693182
,,0.331065833
,,0.327749005
,,0.325709044
,,0.324883421
,,0.324211498
,,0.324201874
,,0.323826058
,,0.323037076
,,0.323717257
,,0.323321006
,,0.322895221
,,0.323358904
,,0.320513222
,,0.316522118
,,0.312377554
,,0.308217848
,,0.303903902
,,0.29952508
,,0.294734282
,,0.290261218
,,0.285572103
,,0.280811217
,,0.276142944
,,0.271299006
,,0.266585328
,,0.261538169
,,0.256705584
,,0.251825012
,,0.247075387
,,0.242289715
,,0.237694964
,,0.232762534
,,0.228132935
,,0.223230823
,,0.21814722
,,0.213301159
,,0.20834427
,,0.204132466
,,0.199818879
,,0.195776413
,,0.191319576
,,0.186884852
,,0.186021875
,,0.191086776
,,0.195194606
,,0.19731718
,,0.195455767
,,0.194886411
,,0.192990571
,,0.190954747
,,0.190317155
,,0.18850487
,,0.186614468
,,0.184878794
,,0.184018837
,,0.1832935
,,0.182673601
,,0.181858152
,,0.183673469
,,0.183147723
,,0.18271477
,,0.182397693
,,0.182519599
,,0.182099596
,,0.181839979
,,0.181546522
,,0.181492434
,,0.18164348
,,0.181800032
,,0.181727975
,,0.181585195
,,0.181668052
,,0.183940172
,,0.183798739
,,0.183817067
,,0.183871238
,,0.183895644
,,0.183842651
,,0.18415312
,,0.184162144
,,0.184867029
,,0.184948063
,,0.184898843
,,0.185104634
,,0.184975261
,,0.185045641
,,0.186921227
,,0.18702198
,,0.186994548
,,0.187024662
,,0.187119505
,,0.187564727
,,0.187559038
,,0.187940419
,,0.188089241
,,0.18821565
,,0.188824125
,,0.188996124
,,0.189189747
,,0.189250492
,,0.189357614
,,0.189475448
,,0.191464851
,,0.19135642
,,0.191324413
,,0.191167037
,,0.190943984
,,0.191256313
,,0.191023666
,,0.190827289
,,0.191103378
,,0.190790913
,,0.190954978
,,0.190789774
,,0.190563763
,,0.190322328
,,0.191764295
,,0.191968812
,,0.192356681
,,0.194094703
,,0.194560183
,,0.19480667
,,0.19477898
,,0.194745219
,,0.194693902
,,0.194944984
,,0.195109232
,,0.195579036
,,0.195531458
,,0.195932294
,,0.196167844
,,0.196106926
,,0.197581192
,,0.197841898
,,0.197821157
,,0.197832046
,,0.198051207
,,0.19816586
,,0.197859518
,,0.19739961
,,0.197400051
,,0.19760488
,,0.197505115
,,0.197550685
,,0.197936815
,,0.198101441
,,0.199378553
,,0.199441741
,,0.199937246
,,0.200019924
,,0.20007721
,,0.200122551
,,0.200276013
,,0.200732446
,,0.201076841
,,0.201007203
,,0.201093966
,,0.201391222
,,0.201735029
,,0.203085792
,,0.203391937
,,0.203590999
,,0.203552904
,,0.203565007
,,0.203300229
,,0.202972475
,,0.202626021
,,0.202725796
,,0.202572236
,,0.202486385
,,0.202311797
,,0.202467285
,,0.203772264
,,0.203722092
,,0.203983763
,,0.204294483
,,0.204215143
,,0.204093031
,,0.204252336
