#name1,name2,distance,forced_redirection
Resafa,Ithriyah,102,0
Ithriyah,Tadmor,134,0
Ithriyah,Homs,140,0
Ath_Thawrah,Madan,131,0
Resafa,Madan,119,0
Madan,Deir_ez_Zor,93,0
Deir_ez_Zor,Al_Mayadin,64,0
Al_Mayadin,Abu_Kamal,59,0
Abu_Kamal,Anbar,87,0
As_Sukhnah,Deir_ez_Zor,148,0
Al_Hasakeh,Hasibah,63,0
Hasibah,Deir_ez_Zor,101,0
Ar_Raqqa,Khunayzir,140,0
Ar_Raqqa,Madan,111,0
Madan,Khunayzir,100,0
Khunayzir,Al_Hasakeh,70,0
Ar_Raqqa,Ath_Thawrah,70,0
Ain_Al_Arab,Jarablus,62,0
Ain_Al_Arab,Al_Bab,103,0
Ain_Al_Arab,Akcakale,90,0
Ar_Raqqa,Akcakale,78,0
Ar_Raqqa,Tell_Abiad,67,0
Akcakale,Harran,25,0
Suruc,Harran,71,0
Suruc,Ain_Al_Arab,71,0
Suruc,Nizip_1,77,0
Suruc,Nizip_2,77,0
Tell_Abiad,Akcakale,74,0
Ras_Al_Ain,Ceylanpinar,15,0
Ras_Al_Ain,Viransehir,13,0
Ceylanpinar,Viransehir,24,0
Ceylanpinar,Harran,117,0
Quamishli,Tasliburc,30,0
Tasliburc,Midyat,26,0
Quamishli,Al_Malikeyyeh,64,0
Midyat,Magarakoy,28,0
Magarakoy,Al_Malikeyyeh,49,0
Domiz1,Dahuk,21,0
Domiz1,Gawilan,115,0
Domiz2,Dahuk,21,0
Domiz2,Gawilan,115,0
Dahuk,Akre,102,0
Gawilan,Akre,69,0
Gawilan,Kawergosk,35,0
Gawilan,Erbil,53,0
Kawergosk,Darashakran,25,0
Kawergosk,Erbil,32,0
Darashakran,Akre,49,0
Darashakran,Basirma,70,0
Darashakran,Erbil,40,0
Basirma,Akre,65,0
Basirma,Erbil,56,0
Qushtapa,Erbil,24,0
Qushtapa,Kirkuk,69,0
Kirkuk,Sulaymaniyah,110,0
Qushtapa,Basirma,83,0
Kirkuk,Arbat,115,0
Sulaymaniyah,Arbat,90,0
Kirkuk,Baiji,108,0
Baiji,Haditha,152,0
Haditha,Anbar,120,0
Al_Hasakah,Quamishli,81,0
Al_Hasakah,Al_Hasakeh,59,0
Ras_Al_Ain,Al_Hasakah,76,0
Ras_Al_Ain,Tell_Abiad,106,0
Zakho,Al_Malikeyyeh,93,0
Zakho,Domiz2,55,0
Zakho,Domiz1,55,0
Zakho,Dahuk,55,0
Sulaymaniyah,Arbat,83,0
