Day,Date,Ningi_West sim,Ningi_West data,Ningi_West error,Ningi_East sim,Ningi_East data,Ningi_East error,Gongola sim,Gongola data,Gongola error,Danina sim,Danina data,Danina error,Filin_Shagari sim,Filin_Shagari data,Filin_Shagari error,Masallacin_Idi sim,Masallacin_Idi data,Masallacin_Idi error,Katirje sim,Katirje data,Katirje error,Kyawawa sim,Kyawawa data,Kyawawa error,Ariya sim,Ariya data,Ariya error,Kore sim,Kore data,Kore error,Kubdiya sim,Kubdiya data,Kubdiya error,Nasarawa sim,Nasarawa data,Nasarawa error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
11,2022-08-12,11939,0,0.0,5875,0,0.0,182,0,0.0,3028,0,0.0,771,3,256.0,1811,2,904.5,209,0,0.0,793,0,0.0,11074,0,0.0,4350,0,0.0,7537,0,0.0,649,0,0.0,0.0,0,94641,0,48218,0
12,2022-08-13,12402,0,0.0,6086,0,0.0,181,0,0.0,3133,0,0.0,771,3,256.0,1808,2,903.0,209,0,0.0,793,0,0.0,11380,0,0.0,4548,0,0.0,7812,0,0.0,648,0,0.0,0.0,0,99754,0,49771,0
13,2022-08-14,12877,0,0.0,6284,0,0.0,181,0,0.0,3240,0,0.0,771,3,256.0,1807,2,902.5,209,0,0.0,793,0,0.0,11681,0,0.0,4642,0,0.0,8105,0,0.0,648,0,0.0,0.0,0,104442,0,51238,0
14,2022-08-15,13385,0,0.0,6477,0,0.0,181,0,0.0,3316,0,0.0,771,4,191.75,1803,3,600.0,209,0,0.0,793,0,0.0,11965,0,0.0,4704,0,0.0,8383,0,0.0,647,0,0.0,0.0,0,108440,0,52634,0
15,2022-08-16,13880,0,0.0,6666,0,0.0,181,0,0.0,3420,0,0.0,771,4,191.75,1803,3,600.0,209,0,0.0,792,0,0.0,12101,0,0.0,4763,0,0.0,8648,0,0.0,647,0,0.0,0.0,0,112290,0,53881,0
16,2022-08-17,14180,0,0.0,6858,0,0.0,181,0,0.0,3538,0,0.0,771,4,191.75,1803,3,600.0,209,0,0.0,792,0,0.0,12231,0,0.0,4797,0,0.0,8782,0,0.0,645,0,0.0,0.0,0,115704,0,54787,0
17,2022-08-18,14511,0,0.0,7059,0,0.0,181,0,0.0,3635,0,0.0,769,5,152.8,1800,3,599.0,209,0,0.0,791,0,0.0,12358,0,0.0,4826,0,0.0,8865,0,0.0,643,0,0.0,0.0,0,118888,0,55647,0
18,2022-08-19,14743,0,0.0,7134,0,0.0,181,0,0.0,3680,0,0.0,769,5,152.8,1800,3,599.0,209,0,0.0,791,0,0.0,12494,0,0.0,4838,0,0.0,8937,0,0.0,643,0,0.0,0.0,0,120780,0,56219,0
19,2022-08-20,14950,0,0.0,7191,0,0.0,181,0,0.0,3713,0,0.0,768,5,152.6,1798,3,598.3333,209,0,0.0,790,0,0.0,12662,0,0.0,4846,0,0.0,8966,0,0.0,642,0,0.0,0.0,0,122672,0,56716,0
20,2022-08-21,15137,0,0.0,7237,0,0.0,180,0,0.0,3733,0,0.0,767,6,126.8333,1797,4,448.25,209,1,208.0,790,1,789.0,12786,0,0.0,4859,0,0.0,8985,0,0.0,642,0,0.0,0.0,0,124564,0,57122,0
21,2022-08-22,15304,0,0.0,7262,0,0.0,180,0,0.0,3749,0,0.0,766,6,126.6667,1794,4,447.5,208,1,207.0,790,1,789.0,12953,0,0.0,4861,0,0.0,9007,0,0.0,641,0,0.0,0.0,0,126306,0,57515,0
22,2022-08-23,15485,0,0.0,7283,0,0.0,180,0,0.0,3763,0,0.0,765,6,126.5,1794,4,447.5,207,1,206.0,789,1,788.0,13106,0,0.0,4864,0,0.0,9017,0,0.0,641,0,0.0,0.0,0,128048,0,57894,0
23,2022-08-24,15632,0,0.0,7291,0,0.0,179,0,0.0,3778,0,0.0,763,6,126.1667,1792,4,447.0,207,1,206.0,788,1,787.0,13151,0,0.0,4870,0,0.0,9027,0,0.0,641,0,0.0,0.0,0,129643,0,58119,0
24,2022-08-25,15700,0,0.0,7307,0,0.0,179,0,0.0,3786,0,0.0,762,7,107.8571,1791,4,446.75,207,1,206.0,788,1,787.0,13185,0,0.0,4876,0,0.0,9033,0,0.0,640,0,0.0,0.0,0,131088,0,58254,0
25,2022-08-26,15756,0,0.0,7320,0,0.0,179,0,0.0,3795,0,0.0,762,7,107.8571,1789,4,446.25,206,1,205.0,788,1,787.0,13221,0,0.0,4880,0,0.0,9035,0,0.0,639,0,0.0,0.0,0,132533,0,58370,0
26,2022-08-27,15785,0,0.0,7326,0,0.0,179,0,0.0,3799,0,0.0,760,7,107.5714,1784,4,445.0,206,1,205.0,787,1,786.0,13238,0,0.0,4879,0,0.0,9039,0,0.0,639,0,0.0,0.0,0,133978,0,58421,0
27,2022-08-28,15805,0,0.0,7328,0,0.0,179,0,0.0,3803,0,0.0,759,7,107.4286,1782,4,444.5,206,1,205.0,787,1,786.0,13248,0,0.0,4882,0,0.0,9037,0,0.0,639,0,0.0,0.0,0,134646,0,58455,0
28,2022-08-29,15832,0,0.0,7330,0,0.0,179,0,0.0,3810,0,0.0,759,8,93.875,1781,4,444.25,206,1,205.0,787,1,786.0,13258,0,0.0,4888,0,0.0,9033,0,0.0,638,0,0.0,0.0,0,135314,0,58501,0
29,2022-08-30,15840,0,0.0,7337,0,0.0,178,0,0.0,3814,0,0.0,759,8,93.875,1777,4,443.25,206,1,205.0,786,1,785.0,13268,0,0.0,4896,0,0.0,9028,0,0.0,637,0,0.0,0.0,0,135982,0,58526,0
30,2022-08-31,15843,0,0.0,7336,0,0.0,178,0,0.0,3817,0,0.0,758,8,93.75,1777,4,443.25,206,1,205.0,785,1,784.0,13281,0,0.0,4898,0,0.0,9028,0,0.0,636,1,635.0,0.0,0,136650,0,58543,0
