#name1,name2,distance
Ceca,Dawuro,322
Waladaya_Gabare,Shabelle_Zone,321
Bundada_Flash_Flood,Jiban-Jible,321
Jiban-Jible,Mirdhis,321
Gelcha,Hobane_Laman,321
Gambadh_Ugaas,Kebele,320
Bur-Shakadi,Haarcad,320
Anshokala_Hiro,Melokoza,320
Chefa_Keransa,Gelcha,320
Bur-Shakadi,Waladaya_Gabare,319
Segento,Dalifagi,319
Haarcad,Qudhac_Dher,319
Haarcad,Shabelle_Zone,319
Berta,Semera,319
Qudhacle,Kebridehar,318
Qudhac_Dher,Waladaya_Gabare,318
Mustahil,Qudhacle,317
Hobane_Laman,Melokoza,317
Danyere,Siigo-Dher,317
Kabhanle,Kebridehar,317
Eyole,Kebridehar,317
Sade_Guge,Konta,317
Gelcha,Korbeti,316
East_Imi_Town,Kaboobe,316
Kabhanle,Mustahil,316
Xidigta,Kebridehar,316
Libahle,Kebridehar,315
Gelcha,Sanbate_Shalla,315
Mustahil,Xidigta,315
Bundada_Flash_Flood,Bur_Dheedi,314
Budul,Siigo-Dher,314
Libahle,Mustahil,314
Gambadh_Ugaas,Ferfer,314
Fandde_Ejersa,Konta,314
Kaboobe,Kebridehar,314
Haarcad,Lo_Dabal,314
East_Imi_Town,Eyole,313
Lo_Dabal,Waladaya_Gabare,313
Gambadh_Ugaas,Hargele,312
Gashantimo,Haarcad,312
Chefa_Keransa,Melokoza,311
Gashantimo,Waladaya_Gabare,311
Kabhanle,Hargele,309
Dharkaynwayd,Gan,308
Jiban-Jible,Hargele,308
Danyere,Qudhacle,308
Sanbate_Shalla,Melokoza,308
Bur_Gaabo,Hargele,308
Kabhanle,Bale,308
Jiban-Jible,Bale,308
Budul,Kebridehar,307
Gabulle,Keliwan,307
Libahle,Hargele,307
Kaboobe,Siigo-Dher,307
Danyere,Kabhanle,307
Jiban-Jible,Kebridehar,306
Libahle,Bale,306
Budul,Qudhacle,306
Danyere,Xidigta,305
Jiban-Jible,Mustahil,305
Aysaita,Keliwan,305
Danyere,Libahle,305
Budul,Kabhanle,304
Haarcad,Kelafo,304
Eyole,Siigo-Dher,304
Danyere,Kebridehar,303
Qudhacle,Hargele,303
Budul,Xidigta,303
Andido,Semera,302
Budul,Libahle,302
Qudhacle,Bale,302
Korbeti,Melokoza,302
Bundada_Flash_Flood,Eyole,302
Albula_Lencha,Melokoza,301
Chiticha_Kuntufa,Melokoza,301
Bur_Dheedi,East_Imi_Town,300
Daba_Katuur,Dharkaynwayd,300
Hilo-Nagod,Ferfer,300
Kada_Hurunto,Dalifagi,300
Xidigta,Hargele,299
Bundada_Flash_Flood,Kaboobe,299
Hilo-Nagod,Hargele,298
Xidigta,Bale,298
Kaboobe,Qudhacle,298
Daba_Katuur,Kebele,298
Kelafo,Hargele,297
Kabhanle,Kaboobe,296
Sade_Guge,Bale,296
Albula_Lencha,Bale,296
Gabulle,Saw_Halayto,296
Danyere,Jiban-Jible,296
Kaboobe,Xidigta,295
Sade_Guge,Melokoza,295
Eyole,Qudhacle,295
Kaboobe,Libahle,294
Mustahil,Kebridehar,294
Chiticha_Kuntufa,Bale,294
Saw_Halayto,Aysaita,293
Eyole,Kabhanle,293
Budul,Jiban-Jible,293
Fandde_Ejersa,Bale,293
Furfursa,Dawuro,293
Budul,Bundada_Flash_Flood,292
Eyole,Xidigta,292
Fandde_Ejersa,Melokoza,292
Eyole,Libahle,291
Hobane_Laman,Bale,291
Bur_Dheedi,Siigo-Dher,291
Gan,Kebele,290
Siigo-Dher,Hargele,289
Siigo-Dher,Bale,288
Bundada_Flash_Flood,Danyere,288
Anshokala_Hiro,Gelcha,288
Korbeti,Bale,287
Gelcha,Shashemene,287
Dudi_Dero,Dawuro,286
Jiban-Jible,Kaboobe,286
Sanbate_Shalla,Bale,285
Damerey,Ferfer,285
Chefa_Keransa,Bale,285
Mender_Simint,Keliwan,284
Garab-Jabiye,Ferfer,284
Sediha_Holhol,Keliwan,283
Bur_Gaabo,Haarcad,283
Damerey,Hargele,283
Eyole,Jiban-Jible,282
Bur_Dheedi,Qudhacle,282
Garab-Jabiye,Hargele,282
Dattdamum,Dalifagi,281
Bur_Dheedi,Kabhanle,280
Bundada_Flash_Flood,Gambadh_Ugaas,280
Gambadh_Ugaas,Mirdhis,280
Bur_Dheedi,Xidigta,279
Bundada_Flash_Flood,Mustahil,279
East_Imi_Town,Hargele,279
Bur_Dheedi,Libahle,278
East_Imi_Town,Bale,278
Mirdhis,Kebridehar,278
Gabulle,Dalifagi,275
Bur_Gaabo,East_Imi_Town,275
Dharkaynwayd,Kelafo,275
Kebele,Shabelle_Zone,275
Anshokala_Hiro,Bale,275
Aysaita,Dalifagi,273
Mender_Simint,Saw_Halayto,273
Kabhanle,Kebele,273
Bundada_Flash_Flood,Kelafo,273
Jiban-Jible,Kebele,272
Saw_Halayto,Sediha_Holhol,272
Raranle,Ferfer,271
Kebele,Libahle,271
Bur_Dheedi,Jiban-Jible,270
Raranle,Hargele,269
Bur-Shakadi,Kebele,267
Kebele,Qudhacle,267
Kebele,Qudhac_Dher,266
Bundada_Flash_Flood,Hilo-Nagod,266
Hilo-Nagod,Mirdhis,266
Gambadh_Ugaas,Kebridehar,266
Bur_Gaabo,Siigo-Dher,266
Melokoza,Shashogo,265
Gambadh_Ugaas,Mustahil,265
East_Imi_Town,Kelafo,264
Bundada_Flash_Flood,Mirdhis,263
Kebele,Xidigta,263
Daba_Katuur,Hargele,262
Kebele,Lo_Dabal,261
Gashantimo,Kebele,259
Kelafo,Kebridehar,258
Bur_Dheedi,Haarcad,258
Bale,Shashemene,257
Bur_Gaabo,Qudhacle,257
Anshokala_Hiro,Dawuro,256
Danyere,Gambadh_Ugaas,255
Bur_Gaabo,Kabhanle,255
Siigo-Dher,Kelafo,255
Bur_Gaabo,Dharkaynwayd,254
Bur_Gaabo,Xidigta,254
Gan,Hargele,254
Bur_Gaabo,Libahle,253
Kebele,Siigo-Dher,253
Mender_Simint,Dalifagi,253
Bundada_Flash_Flood,Damerey,253
Hobane_Laman,Dawuro,253
Budul,Gambadh_Ugaas,253
Bundada_Flash_Flood,Garab-Jabiye,253
Hilo-Nagod,Kebridehar,251
Damerey,Mirdhis,251
Hilo-Nagod,Mustahil,251
Garab-Jabiye,Mirdhis,250
Chefa_Keransa,Dawuro,247
Keliwan,Semera,246
Dawuro,Shashemene,246
Qudhacle,Kelafo,246
Sediha_Holhol,Dalifagi,246
Gambadh_Ugaas,Kaboobe,245
Eyole,Haarcad,245
Ferfer,Kebridehar,245
Bur_Gaabo,Jiban-Jible,244
Kabhanle,Kelafo,244
Sanbate_Shalla,Dawuro,244
Xidigta,Kelafo,243
East_Imi_Town,Kebele,243
Libahle,Kelafo,243
Haarcad,Kaboobe,242
Eyole,Gambadh_Ugaas,242
Danyere,Hilo-Nagod,241
Ferfer,Shabelle_Zone,240
Bundada_Flash_Flood,Raranle,239
Shabelle_Zone,Hargele,239
Damerey,Kebridehar,239
Budul,Hilo-Nagod,239
Garab-Jabiye,Kebridehar,238
Bundada_Flash_Flood,Daba_Katuur,238
Mirdhis,Raranle,237
Korbeti,Dawuro,237
Albula_Lencha,Dawuro,237
Yahol_And_Gilo,Gambella,237
Chiticha_Kuntufa,Dawuro,236
Budul,Haarcad,236
Damerey,Mustahil,236
Bur-Shakadi,Ferfer,235
Saw_Halayto,Semera,235
Pajung_Village_Flood,Gambella,235
Garab-Jabiye,Mustahil,234
Bur-Shakadi,Hargele,234
Qudhac_Dher,Ferfer,234
Jiban-Jible,Kelafo,234
Qudhac_Dher,Hargele,233
Danyere,Haarcad,232
Sade_Guge,Dawuro,231
Hilo-Nagod,Kaboobe,231
Bundada_Flash_Flood,Gan,230
Bundada_Flash_Flood,Ferfer,230
Methar_Health_Center,Gambella,230
Daba_Katuur,East_Imi_Town,229
Bur_Dheedi,Dharkaynwayd,229
Bur_Dheedi,Gambadh_Ugaas,229
Oda_Nagele,Sade_Guge,228
Lo_Dabal,Ferfer,228
Albula_Lencha,Oda_Nagele,228
Eyole,Hilo-Nagod,228
Kullo,Sade_Guge,228
Fandde_Ejersa,Dawuro,228
Albula_Lencha,Kullo,227
Lo_Dabal,Hargele,227
Damerey,Danyere,226
Gashantimo,Ferfer,226
Chiticha_Kuntufa,Oda_Nagele,225
Gashantimo,Hargele,225
Danyere,Garab-Jabiye,225
Chiticha_Kuntufa,Kullo,225
Raranle,Kebridehar,225
Fandde_Ejersa,Oda_Nagele,225
Fandde_Ejersa,Kullo,224
Budul,Damerey,224
Hobane_Laman,Oda_Nagele,223
Daba_Katuur,Kebridehar,223
Hobane_Laman,Kullo,223
Haarcad,Mustahil,222
Budul,Garab-Jabiye,222
Mustahil,Raranle,222
East_Imi_Town,Gan,221
Ceca,Sade_Guge,221
Albula_Lencha,Ceca,220
Daba_Katuur,Siigo-Dher,220
Ceca,Chiticha_Kuntufa,218
Dalifagi,Keliwan,218
Ceca,Fandde_Ejersa,217
Oda_Nagele,Sanbate_Shalla,217
Chefa_Keransa,Oda_Nagele,217
Kullo,Sanbate_Shalla,217
Chefa_Keransa,Kullo,217
Dharkaynwayd,Eyole,216
Ceca,Hobane_Laman,216
Damerey,Kaboobe,216
Garab-Jabiye,Kaboobe,215
Bur_Dheedi,Hilo-Nagod,215
Gan,Kebridehar,215
Dharkaynwayd,Kaboobe,213
Danyere,Raranle,213
Damerey,Eyole,213
Eyole,Garab-Jabiye,212
Gan,Siigo-Dher,212
Anshokala_Hiro,Oda_Nagele,211
Daba_Katuur,Qudhacle,211
Anshokala_Hiro,Kullo,211
Dalifagi,Semera,210
Budul,Raranle,210
Ceca,Sanbate_Shalla,210
Ceca,Chefa_Keransa,210
Bundada_Flash_Flood,Bur-Shakadi,209
Daba_Katuur,Kabhanle,209
Bundada_Flash_Flood,Qudhac_Dher,208
Daba_Katuur,Xidigta,208
Bundada_Flash_Flood,Shabelle_Zone,208
Daba_Katuur,Libahle,208
Haarcad,Mirdhis,207
Budul,Dharkaynwayd,207
Mirdhis,Shabelle_Zone,206
Saw_Halayto,Dalifagi,206
Bur_Gaabo,Gambadh_Ugaas,204
Anshokala_Hiro,Ceca,204
Danyere,Dharkaynwayd,203
Gan,Qudhacle,203
Bundada_Flash_Flood,Lo_Dabal,203
Kaboobe,Raranle,202
Gan,Kabhanle,201
Bur-Shakadi,Mirdhis,201
Bundada_Flash_Flood,Gashantimo,201
Bur-Shakadi,East_Imi_Town,201
East_Imi_Town,Shabelle_Zone,200
Mirdhis,Qudhac_Dher,200
Gan,Xidigta,200
Bur_Dheedi,Damerey,200
East_Imi_Town,Qudhac_Dher,200
Gan,Libahle,199
Bur_Dheedi,Garab-Jabiye,199
Eyole,Raranle,199
Daba_Katuur,Jiban-Jible,199
Korbeti,Oda_Nagele,197
Korbeti,Kullo,197
Leitchour_Flood,Gambella,196
Bur-Shakadi,Kebridehar,195
Gashantimo,Mirdhis,195
Lo_Dabal,Mirdhis,194
Qudhac_Dher,Kebridehar,194
East_Imi_Town,Lo_Dabal,194
Shabelle_Zone,Kebridehar,194
Dharkaynwayd,Mustahil,194
Gambadh_Ugaas,Kelafo,193
Mustahil,Shabelle_Zone,192
East_Imi_Town,Gashantimo,192
Bur-Shakadi,Siigo-Dher,191
Oda_Nagele,Shashemene,191
Siigo-Dher,Shabelle_Zone,191
Kullo,Shashemene,190
Qudhac_Dher,Siigo-Dher,190
Gan,Jiban-Jible,190
Bur_Gaabo,Hilo-Nagod,190
Ceca,Korbeti,189
Kuachthiang,Gambella,189
Dawuro,Shashogo,188
Lo_Dabal,Kebridehar,188
Bur_Dheedi,Raranle,188
Bur-Shakadi,Mustahil,187
Gashantimo,Kebridehar,187
Mustahil,Qudhac_Dher,186
Lo_Dabal,Siigo-Dher,185
Ceca,Shashemene,183
Danyere,Shabelle_Zone,183
Gashantimo,Siigo-Dher,183
Qudhacle,Shabelle_Zone,183
Bur-Shakadi,Qudhacle,182
Oda_Nagele,Shashogo,182
Kullo,Shashogo,181
Kabhanle,Shabelle_Zone,181
Qudhac_Dher,Qudhacle,181
Budul,Shabelle_Zone,181
Lo_Dabal,Mustahil,181
Hilo-Nagod,Kelafo,181
Bur-Shakadi,Kabhanle,180
Xidigta,Shabelle_Zone,180
Kabhanle,Qudhac_Dher,179
Libahle,Shabelle_Zone,179
Bur-Shakadi,Xidigta,179
Gashantimo,Mustahil,179
Bur-Shakadi,Libahle,179
Bur-Shakadi,Danyere,178
Dharkaynwayd,Mirdhis,178
Qudhac_Dher,Xidigta,178
Dollo_Ado,Hargele,178
Libahle,Qudhac_Dher,178
Danyere,Qudhac_Dher,177
Furfursa,Sade_Guge,176
Bur_Gaabo,Damerey,176
Bur_Gaabo,Garab-Jabiye,176
Albula_Lencha,Furfursa,176
Budul,Bur-Shakadi,176
Lo_Dabal,Qudhacle,175
Dawuro,Melokoza,175
Budul,Qudhac_Dher,175
Ceca,Shashogo,174
Kabhanle,Lo_Dabal,174
Kuerliey_Flood,Gambella,174
Gashantimo,Qudhacle,173
Chiticha_Kuntufa,Furfursa,173
Haarcad,Ferfer,173
Fandde_Ejersa,Furfursa,173
Dattdamum,Gabulle,173
Kaboobe,Shabelle_Zone,173
Lo_Dabal,Xidigta,172
Gashantimo,Kabhanle,172
Libahle,Lo_Dabal,172
Danyere,Lo_Dabal,171
Furfursa,Hobane_Laman,171
Gashantimo,Xidigta,171
Dattdamum,Aysaita,170
Gashantimo,Libahle,170
Jiban-Jible,Shabelle_Zone,170
Danyere,Gashantimo,170
Eyole,Shabelle_Zone,169
Bur-Shakadi,Jiban-Jible,169
Dudi_Dero,Sade_Guge,169
Budul,Lo_Dabal,169
Albula_Lencha,Dudi_Dero,169
Jiban-Jible,Qudhac_Dher,168
Bur-Shakadi,Kaboobe,167
Budul,Gashantimo,167
Kaboobe,Qudhac_Dher,166
Chiticha_Kuntufa,Dudi_Dero,166
Dudi_Dero,Fandde_Ejersa,166
Damerey,Kelafo,165
Furfursa,Sanbate_Shalla,165
Gan,Ferfer,165
Garab-Jabiye,Kelafo,165
Chefa_Keransa,Furfursa,165
Bur-Shakadi,Eyole,164
Dudi_Dero,Hobane_Laman,164
Eyole,Qudhac_Dher,163
Jiban-Jible,Lo_Dabal,163
Bur_Gaabo,Raranle,163
Kebele,Dollo_Ado,162
Gashantimo,Jiban-Jible,161
Kaboobe,Lo_Dabal,161
Daba_Katuur,Gambadh_Ugaas,159
Anshokala_Hiro,Furfursa,159
Gashantimo,Kaboobe,159
Dudi_Dero,Sanbate_Shalla,158
Chefa_Keransa,Dudi_Dero,158
Eyole,Lo_Dabal,158
Daba_Katuur,Ferfer,157
Bur_Dheedi,Shabelle_Zone,157
Eyole,Gashantimo,156
Kebele,Waladaya_Gabare,155
Anshokala_Hiro,Dudi_Dero,152
Raranle,Kelafo,152
Bur_Dheedi,Bur-Shakadi,151
Gambadh_Ugaas,Gan,151
Bur_Dheedi,Qudhac_Dher,150
Dattdamum,Mender_Simint,149
Dharkaynwayd,Kebridehar,145
Furfursa,Korbeti,145
Daba_Katuur,Hilo-Nagod,145
Bur_Dheedi,Lo_Dabal,145
Dharkaynwayd,Ferfer,144
Bur_Dheedi,Gashantimo,143
Dattdamum,Sediha_Holhol,143
East_Imi_Town,Garab-Jabiye,142
Furfursa,Shashemene,142
Dudi_Dero,Korbeti,138
Gan,Hilo-Nagod,137
Dudi_Dero,Shashemene,135
Furfursa,Shashogo,133
Garab-Jabiye,Siigo-Dher,133
Ferfer,Kelafo,132
Bur_Gaabo,Shabelle_Zone,131
Gan,Mirdhis,131
Gambadh_Ugaas,Shabelle_Zone,130
Bundada_Flash_Flood,Dharkaynwayd,130
Daba_Katuur,Damerey,129
Daba_Katuur,Garab-Jabiye,129
Bur-Shakadi,Gambadh_Ugaas,129
East_Imi_Town,Raranle,129
Gambadh_Ugaas,Qudhac_Dher,128
Bur_Gaabo,Bur-Shakadi,126
Dudi_Dero,Shashogo,126
Haarcad,Kebridehar,126
Bur_Gaabo,Qudhac_Dher,125
Garab-Jabiye,Qudhacle,123
Daba_Katuur,Mirdhis,123
Gambadh_Ugaas,Lo_Dabal,122
Garab-Jabiye,Kabhanle,122
Damerey,Gan,121
Gan,Garab-Jabiye,121
Dawuro,Konta,121
Gambadh_Ugaas,Gashantimo,121
Waladaya_Gabare,Hargele,121
Kelafo,Shabelle_Zone,121
Garab-Jabiye,Xidigta,120
Garab-Jabiye,Libahle,120
Raranle,Siigo-Dher,119
Bur_Gaabo,Lo_Dabal,119
Bur_Gaabo,Gashantimo,118
Damerey,East_Imi_Town,117
Daba_Katuur,Raranle,116
Gan,Mustahil,115
Hilo-Nagod,Shabelle_Zone,115
Bur-Shakadi,Kelafo,115
Bur-Shakadi,Hilo-Nagod,115
Qudhac_Dher,Kelafo,114
Hilo-Nagod,Qudhac_Dher,114
Garab-Jabiye,Jiban-Jible,112
Bur_Gaabo,Ferfer,110
Bundada_Flash_Flood,Haarcad,110
Qudhacle,Raranle,110
Furfursa,Oda_Nagele,110
Furfursa,Kullo,109
Lo_Dabal,Kelafo,109
Hilo-Nagod,Lo_Dabal,109
Kabhanle,Raranle,108
Damerey,Siigo-Dher,108
Gan,Raranle,108
Daba_Katuur,Mustahil,107
Raranle,Xidigta,107
Gashantimo,Kelafo,107
Gashantimo,Hilo-Nagod,107
Libahle,Raranle,107
Danyere,Gan,106
Dattdamum,Semera,105
Budul,Gan,104
Dudi_Dero,Oda_Nagele,103
Dudi_Dero,Kullo,102
Garab-Jabiye,Shabelle_Zone,101
Damerey,Shabelle_Zone,101
Bur-Shakadi,Garab-Jabiye,100
Bur-Shakadi,Damerey,100
Gelcha,Kada_Hurunto,99
Damerey,Qudhacle,99
Garab-Jabiye,Qudhac_Dher,99
Damerey,Qudhac_Dher,99
Jiban-Jible,Raranle,98
Mirdhis,Kelafo,98
Daba_Katuur,Danyere,98
Damerey,Kabhanle,98
Waladaya_Gabare,Dollo_Ado,96
Damerey,Xidigta,96
East_Imi_Town,Hilo-Nagod,96
Damerey,Libahle,96
Gan,Kaboobe,96
Budul,Daba_Katuur,95
Garab-Jabiye,Lo_Dabal,93
Damerey,Lo_Dabal,93
Eyole,Gan,93
Garab-Jabiye,Gashantimo,92
Damerey,Gashantimo,91
Daba_Katuur,Kaboobe,88
Hilo-Nagod,Siigo-Dher,87
Raranle,Shabelle_Zone,87
Damerey,Jiban-Jible,87
Bur-Shakadi,Raranle,86
Bur_Dheedi,Ferfer,86
Qudhac_Dher,Raranle,85
Daba_Katuur,Shabelle_Zone,85
Gelcha,Hassoba,85
Daba_Katuur,Eyole,85
Dattdamum,Saw_Halayto,84
Shashogo,Shashemene,83
Hassoba,Kada_Hurunto,83
Ceca,Oda_Nagele,83
Mustahil,Kelafo,83
Ceca,Kullo,82
Andido,Gelcha,81
Bur-Shakadi,Daba_Katuur,80
Bur_Dheedi,Gan,80
East_Imi_Town,Gambadh_Ugaas,80
Lo_Dabal,Raranle,79
Andido,Kada_Hurunto,79
Kuerliey_Flood,Yahol_And_Gilo,79
Daba_Katuur,Qudhac_Dher,79
Hilo-Nagod,Qudhacle,78
Gashantimo,Raranle,78
Gelcha,Segento,77
Kuerliey_Flood,Pajung_Village_Flood,77
Gan,Shabelle_Zone,77
Bur_Gaabo,Mirdhis,77
Hilo-Nagod,Kabhanle,76
Hilo-Nagod,Xidigta,75
Hilo-Nagod,Libahle,75
Danyere,Kelafo,74
Daba_Katuur,Lo_Dabal,73
Eyole,Ferfer,73
Dattdamum,Keliwan,72
Kuerliey_Flood,Methar_Health_Center,72
Anshokala_Hiro,Shashogo,72
Bur-Shakadi,Gan,72
Gambadh_Ugaas,Garab-Jabiye,72
Bur_Dheedi,Daba_Katuur,72
Daba_Katuur,Gashantimo,72
Budul,Kelafo,71
Gan,Qudhac_Dher,71
Gambadh_Ugaas,Siigo-Dher,70
Kaboobe,Ferfer,70
Hobane_Laman,Shashogo,69
Eeba,Gelcha,69
Gabulle,Semera,67
Hilo-Nagod,Jiban-Jible,65
Gelcha,Berta,65
Gan,Lo_Dabal,65
Aysaita,Semera,65
Gan,Gashantimo,63
Kada_Hurunto,Berta,63
Budul,Ferfer,63
Chefa_Keransa,Shashogo,63
Kaboobe,Kelafo,63
Bur_Gaabo,Mustahil,61
Gambadh_Ugaas,Qudhacle,61
Konta,Melokoza,61
Danyere,Ferfer,60
Sanbate_Shalla,Shashogo,60
Hassoba,Segento,60
Eyole,Kelafo,60
Gambadh_Ugaas,Kabhanle,59
Gambadh_Ugaas,Xidigta,58
China_Camp,Gelcha,58
Gambadh_Ugaas,Raranle,58
Garab-Jabiye,Hilo-Nagod,58
Gambadh_Ugaas,Libahle,57
Andido,Segento,57
Bur-Shakadi,Shabelle_Zone,56
Qudhac_Dher,Shabelle_Zone,55
Bur_Gaabo,Gan,55
Albula_Lencha,Shashogo,53
Chiticha_Kuntufa,Shashogo,52
Bur_Gaabo,Danyere,52
Eeba,Hassoba,52
Bur_Dheedi,Mirdhis,52
Mender_Simint,Sediha_Holhol,51
Mustahil,Ferfer,50
Lo_Dabal,Shabelle_Zone,49
Budul,Bur_Gaabo,49
Korbeti,Shashogo,48
Gambadh_Ugaas,Jiban-Jible,48
Andido,Eeba,48
Kuachthiang,Yahol_And_Gilo,47
Gashantimo,Shabelle_Zone,47
Bur_Dheedi,Kelafo,47
Bur_Gaabo,Daba_Katuur,47
Damerey,Gambadh_Ugaas,46
Kuachthiang,Pajung_Village_Flood,45
Mender_Simint,Semera,44
Gan,Kelafo,44
Hilo-Nagod,Raranle,43
Dharkaynwayd,Haarcad,43
Damerey,Garab-Jabiye,42
China_Camp,Kada_Hurunto,42
Leitchour_Flood,Yahol_And_Gilo,42
Fandde_Ejersa,Shashogo,41
Bur_Gaabo,Kaboobe,41
Kuachthiang,Methar_Health_Center,41
Segento,Berta,41
China_Camp,Hassoba,41
Ceca,Dudi_Dero,40
Sade_Guge,Shashogo,40
Leitchour_Flood,Pajung_Village_Flood,40
Eyole,Mirdhis,39
Kuerliey_Flood,Leitchour_Flood,38
Sade_Guge,Shashemene,38
Bur_Gaabo,Eyole,38
Andido,Hassoba,38
Albula_Lencha,Shashemene,38
Sediha_Holhol,Semera,37
Kebele,Hargele,37
Andido,China_Camp,37
Bur_Dheedi,Mustahil,36
Kaboobe,Mirdhis,36
Chiticha_Kuntufa,Shashemene,36
Daba_Katuur,Kelafo,35
Leitchour_Flood,Methar_Health_Center,35
Fandde_Ejersa,Shashemene,34
Anshokala_Hiro,Sade_Guge,34
Albula_Lencha,Anshokala_Hiro,34
Mirdhis,Ferfer,34
Hobane_Laman,Shashemene,33
Eeba,Berta,32
Ceca,Furfursa,32
Damerey,Hilo-Nagod,32
Anshokala_Hiro,Chiticha_Kuntufa,32
Kuachthiang,Kuerliey_Flood,32
Hobane_Laman,Sade_Guge,31
East_Imi_Town,Kabhanle,31
Albula_Lencha,Hobane_Laman,31
East_Imi_Town,Jiban-Jible,31
Anshokala_Hiro,Fandde_Ejersa,31
Eeba,Kada_Hurunto,31
Anshokala_Hiro,Korbeti,30
Sediha_Holhol,Aysaita,30
East_Imi_Town,Libahle,29
Budul,Mirdhis,29
Chiticha_Kuntufa,Hobane_Laman,29
Korbeti,Shashemene,29
Damerey,Raranle,28
Fandde_Ejersa,Hobane_Laman,28
Gabulle,Sediha_Holhol,28
Sanbate_Shalla,Shashemene,28
Hobane_Laman,Korbeti,27
Bur_Dheedi,Danyere,27
Chefa_Keransa,Shashemene,27
Danyere,Mirdhis,27
East_Imi_Town,Qudhacle,26
Gambadh_Ugaas,Hilo-Nagod,25
Bur_Dheedi,Bur_Gaabo,25
Chefa_Keransa,Sade_Guge,25
Albula_Lencha,Chefa_Keransa,25
Budul,Bur_Dheedi,24
Gabulle,Mender_Simint,23
Eyole,Mustahil,23
Kada_Hurunto,Segento,23
Chefa_Keransa,Chiticha_Kuntufa,22
Sade_Guge,Sanbate_Shalla,22
Kabhanle,Siigo-Dher,22
Jiban-Jible,Siigo-Dher,22
Albula_Lencha,Sanbate_Shalla,22
Bur_Gaabo,Kelafo,22
Chefa_Keransa,Fandde_Ejersa,21
East_Imi_Town,Xidigta,21
Chefa_Keransa,Korbeti,21
Mender_Simint,Aysaita,21
China_Camp,Berta,21
Libahle,Siigo-Dher,20
Anshokala_Hiro,Shashemene,20
Kaboobe,Mustahil,20
Hassoba,Berta,19
China_Camp,Segento,19
Fandde_Ejersa,Sanbate_Shalla,19
Korbeti,Sanbate_Shalla,18
Andido,Berta,18
Qudhacle,Siigo-Dher,17
Mirdhis,Mustahil,16
Bur_Dheedi,Kaboobe,16
Bundada_Flash_Flood,Kebridehar,15
Chiticha_Kuntufa,Sanbate_Shalla,15
Albula_Lencha,Korbeti,15
Albula_Lencha,Sade_Guge,15
Chiticha_Kuntufa,Sade_Guge,14
Garab-Jabiye,Raranle,14
Danyere,Eyole,14
Budul,Mustahil,13
Chiticha_Kuntufa,Korbeti,13
Bur_Dheedi,Eyole,13
Kabhanle,Qudhacle,13
Jiban-Jible,Qudhacle,12
Anshokala_Hiro,Sanbate_Shalla,12
Siigo-Dher,Xidigta,12
East_Imi_Town,Siigo-Dher,12
Fandde_Ejersa,Korbeti,11
Albula_Lencha,Fandde_Ejersa,11
Saw_Halayto,Keliwan,11
Budul,Eyole,11
Chiticha_Kuntufa,Fandde_Ejersa,11
Jiban-Jible,Kabhanle,11
China_Camp,Eeba,11
Danyere,Kaboobe,11
Libahle,Qudhacle,11
Anshokala_Hiro,Hobane_Laman,10
Danyere,Mustahil,10
Kabhanle,Xidigta,10
Jiban-Jible,Xidigta,9
Anshokala_Hiro,Chefa_Keransa,9
Hobane_Laman,Sanbate_Shalla,9
Jiban-Jible,Libahle,9
Korbeti,Sade_Guge,8
