#name1,#name2,distance,forced_redirection
Onitsha South,Oshimili South,8.93,0
Onitsha South,Idemili South,12.19,0
Orumba North,Orumba South,23.79,0
Orumba North,Anaocha,26.64,0
Orumba South,Ideato North,30.37,0
Alkaleri,Kanam,109.18,0
Alkaleri,Kirfi,112.19,0
Alkaleri,Akko,193.06,0
Bauchi,Ganjuwa,52.34,0
Bauchi,Kirfi,151.74,0
Bauchi,Warji,177.89,0
Bogoro,Tafawa-Balewa,27.54,0
Bogoro,Kanke,49.89,0
Bogoro,Dass,72.38,0
Damban,Potiskum,51.66,0
Damban,Nangere,62.6,0
Damban,Misau,68.94,0
Darazo,Misau,39.97,0
Darazo,Dukku,87.92,0
Darazo,Giade,67.59,0
Dass,Tafawa-Balewa,66.32,0
Dass,Jos East,77.1,0
Dass,Toro,79.88,0
Gamawa,Zaki,57.74,0
Gamawa,Jakusko,59.37,0
Gamawa,Katagum,65.63,0
Ganjuwa,Warji,160.55,0
Ganjuwa,Gwaram,117.62,0
Giade,Shira,41.63,0
Giade,Misau,44.58,0
Giade,Katagum,51.06,0
Itas/Gadau,Jama'Are,37.92,0
Itas/Gadau,Kafin Hausa,42.33,0
Itas/Gadau,Zaki,46.54,0
Jama'Are,Buji,28.53,0
Jama'Are,Shira,57.2,0
Katagum,Misau,38.64,0
Katagum,Shira,46.48,0
Kirfi,Dukku,135.81,0
Ningi,Sumaila,109.6,0
Ningi,Takai,150.77,0
Ningi,Birnin Kudu,105.52,0
Shira,Gwaram,69.34,0
Tafawa-Balewa,Jos East,107.68,0
Toro,Jos East,110.58,0
Toro,Tafawa-Balewa,120.88,0
Warji,Gwaram,43.88,0
Warji,Buji,75.18,0
Warji,Birnin Kudu,78.36,0
Zaki,Kafin Hausa,36.07,0
Zaki,Hadejia,49.52,0
Zaki,Auyo,54.05,0
Brass,Akuku Toru,147.78,0
Brass,Nembe,54.4,0
Brass,Ogbia,56.89,0
Ekeremor,Southern Ijaw,215.02,0
Ekeremor,Bomadi,62.63,0
Ekeremor,Sagbama,69.69,0
Kolokuma/Opokuma,Sagbama,43.79,0
Kolokuma/Opokuma,Yenagoa,53.14,0
Kolokuma/Opokuma,Patani,50.94,0
Nembe,Ogbia,52.97,0
Nembe,Akuku Toru,143.94,0
Ogbia,Yenagoa,26.12,0
Ogbia,Abua - Odual,102.24,0
Ogbia,Kolokuma/Opokuma,71.56,0
Sagbama,Patani,15.64,0
Sagbama,Yenagoa,70.08,0
Southern Ijaw,Ogbia,114.1,0
Southern Ijaw,Nembe,148.22,0
Ado,Omala,19.68,0
Ado,Agatu,33.89,0
Ado,Apa,60.14,0
Agatu,Apa,33.72,0
Agatu,Omala,50.59,0
Apa,Ankpa,41.55,0
Buruku,Logo,67.6,0
Buruku,Ushongo,61.27,0
Buruku,Gboko,44.32,0
Gboko,Tarka,55.52,0
Gboko,Ushongo,52.72,0
Guma,Camp(14),18.74,0
Guma,Tarka,86.26,0
Guma,Camp(11),44.1,0
Gwer East,Gwer West,38.41,0
Gwer East,Oturkpo,58.98,0
Gwer East,Obi,56.58,0
Gwer West,Apa,57.13,0
Gwer West,Makurdi,47.9,0
Katsina-Ala,Ukum,39.84,0
Katsina-Ala,Buruku,101.28,0
Katsina-Ala,Takum,52.53,0
Konshisha,Obi,47.36,0
Konshisha,Oju,53.16,0
Konshisha,Gboko,67.47,0
Kwande,Vandeikya,50.19,0
Kwande,Obanliku,64.8,0
Kwande,Ushongo,61.51,0
Logo,Tarka,59.71,0
Logo,Ukum,69.89,0
Makurdi,Camp(11),22.68,0
Makurdi,Tarka,45.23,0
Makurdi,Guma,45.59,0
